id;point_id;site;date;lon;lat;TD_cm;;;;
1;RP042-1;2;2018-07-28;21.57833407;69.02368386;40;;;;
2;RP042-2;2;2018-07-28;21.57819802;69.02377231;39;;;;
3;RP042-3;2;2018-07-28;21.57817075;69.02391805;74;;;;
4;RP042-4;2;2018-07-28;21.57794652;69.02399239;37;;;;
5;RP042-5;2;2018-07-28;21.57843455;69.02393109;44;;;;
6;RP042-6;2;2018-07-28;21.57861245;69.02381328;32;;;;
7;RP043-1;2;2018-07-28;21.57871476;69.02415509;42;;;;
8;RP043-2;2;2018-07-28;21.57882712;69.02408584;41;;;;
9;RP043-3;2;2018-07-28;21.5790152;69.02412112;40;;;;
10;RP045-1;2;2018-07-28;21.5798623;69.02411234;31;;;;
11;RP045-2;2;2018-07-28;21.57994103;69.02404471;32;;;;
12;RP044-5;2;2018-07-28;21.57973818;69.02365225;36;;;;
13;RP044-6;2;2018-07-28;21.57941556;69.02367015;37;;;;
14;RP044-7;2;2018-07-28;21.57966698;69.02380001;43;;;;
15;RP044-8;2;2018-07-28;21.57981843;69.02386853;34;;;;
16;RP044-9;2;2018-07-28;21.58026848;69.02375679;37;;;;
17;RP044-10;2;2018-07-28;21.58083041;69.02390811;34;;;;
18;RP044-11;2;2018-07-28;21.58148826;69.02370414;30;;;;
19;RP044-12;2;2018-07-28;21.58135452;69.0238145;36;;;;
20;RP044-13;2;2018-07-28;21.58184539;69.02380455;40;;;;
21;RP044-14;2;2018-07-28;21.58219584;69.02374656;37;;;;
22;RP044-33;2;2018-07-28;21.584354;69.023894;32;;;;
23;RP044-34;2;2018-07-28;21.584431;69.024026;60;;;;
24;RP044-35;2;2018-07-28;21.583828;69.023835;38;;;;
25;RP041-1;2;2018-07-28;21.57902365;69.02316885;39;;;;
26;RP041-2;2;2018-07-28;21.57908232;69.02303198;40;;;;
27;RP041-4;2;2018-07-28;21.57871064;69.02305638;42;;;;
28;RP041-5;2;2018-07-28;21.57837451;69.0230355;35;;;;
29;RP041-6;2;2018-07-28;21.57846202;69.02319335;35;;;;
30;RP041-7;2;2018-07-28;21.57816486;69.02322716;31;;;;
31;RP041-8;2;2018-07-28;21.57838737;69.02333716;39;;;;
32;RP041-9;2;2018-07-28;21.57809824;69.02341553;79;;;;
33;RP041-10;2;2018-07-28;21.57809229;69.02356103;40;;;;
34;RP044-1;2;2018-07-28;21.58052526;69.02363041;40;;;;
35;RP044-2;2;2018-07-28;21.58036345;69.02351579;43;;;;
36;RP044-3;2;2018-07-28;21.57997243;69.02353225;42;;;;
37;RP044-4;2;2018-07-28;21.58016796;69.02363643;41;;;;
38;RP044-15;2;2018-07-28;21.58222886;69.02363179;40;;;;
39;RP044-16;2;2018-07-28;21.58185811;69.02359987;38;;;;
40;RP044-17;2;2018-07-28;21.58143637;69.02345168;40;;;;
41;RP044-18;2;2018-07-28;21.581656;69.023327;38;;;;
42;RP044-19;2;2018-07-28;21.582058;69.023293;46;;;;
43;RP044-20;2;2018-07-28;21.582286;69.023351;38;;;;
44;RP044-21;2;2018-07-28;21.582319;69.02346;35;;;;
45;RP044-22;2;2018-07-28;21.582486;69.023584;40;;;;
46;RP044-23;2;2018-07-28;21.582746;69.023571;45;;;;
47;RP044-24;2;2018-07-28;21.582593;69.023285;40;;;;
48;RP044-26;2;2018-07-28;21.584184;69.023232;41;;;;
49;RP044-27;2;2018-07-28;21.583755;69.023258;40;;;;
50;RP044-28;2;2018-07-28;21.584015;69.023333;60;;;;
51;RP044-29;2;2018-07-28;21.584086;69.02351;29;;;;
52;RP044-30;2;2018-07-28;21.584323;69.02356;37;;;;
53;RP044-31;2;2018-07-28;21.584137;69.023627;39;;;;
54;RP044-32;2;2018-07-28;21.584441;69.023701;42;;;;
55;RP044-36;2;2018-07-28;21.583536;69.023745;35;;;;
56;RP044-37;2;2018-07-28;21.583498;69.02358;34;;;;
57;RP044-38;2;2018-07-28;21.58357;69.023453;38;;;;
58;RP044-39;2;2018-07-28;21.583517;69.023329;34;;;;
59;RP041-3;2;2018-07-28;21.57918472;69.02289245;37;;;;
60;RP044-25;2;2018-07-28;21.584015;69.023123;47;;;;
61;RP021-3;2;2018-07-28;21.57716052;69.02247156;40;;;;
62;RP021-4;2;2018-07-28;21.57746361;69.02240528;44;;;;
63;RP021-5;2;2018-07-28;21.5776053;69.0225023;37;;;;
64;RP021-1;2;2018-07-28;21.5772768;69.02226318;35;;;;
65;RP021-2;2;2018-07-28;21.57706518;69.0223584;38;;;;
66;RP021-6;2;2018-07-28;21.57800034;69.02236317;37;;;;
67;RP021-7;2;2018-07-28;21.57810578;69.02226836;36;;;;
68;RP021-8;2;2018-07-28;21.57844891;69.02221526;40;;;;
69;RP021-9;2;2018-07-28;21.57827739;69.02203266;37;;;;
70;RP021-10;2;2018-07-28;21.57821523;69.02190638;90;;;;
71;RP021-11;2;2018-07-28;21.57853813;69.0219387;39;;;;
